Operand,Value,Delta
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Swap,246724.0,-7890.0
Inversion,242589.0,-3755.0
Scramble,269589.0,-30755.0
Inversion,269589.0,-30755.0
Swap,267346.0,-28512.0
Scramble,282025.0,-43191.0
Scramble,246724.0,-7890.0
Swap,290498.0,-51664.0
Scramble,264057.0,-25223.0
Inversion,290498.0,-51664.0
Swap,251541.0,-12707.0
Scramble,272126.0,-33292.0
Inversion,242589.0,-3755.0
Scramble,242589.0,-3755.0
Scramble,300221.0,-61387.0
Swap,243741.0,-4907.0
Swap,242589.0,-3755.0
Inversion,251541.0,-12707.0
Scramble,245459.0,-6625.0
Inversion,300221.0,-61387.0
Swap,289369.0,-50535.0
Swap,246724.0,-7890.0
Scramble,290430.0,-51596.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Swap,242589.0,-3755.0
Inversion,242589.0,-3755.0
Inversion,245459.0,-6625.0
Swap,279316.0,-40482.0
Swap,242589.0,-3755.0
Scramble,245459.0,-6625.0
Swap,290430.0,-51596.0
Swap,285342.0,-46508.0
Scramble,273051.0,-34217.0
Inversion,273051.0,-34217.0
Inversion,242589.0,-3755.0
Inversion,273051.0,-34217.0
Scramble,308020.0,-69186.0
Scramble,240067.0,-1233.0
Swap,254023.0,-15189.0
Scramble,266799.0,-27965.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Scramble,266799.0,-27965.0
Scramble,291751.0,-52917.0
Scramble,265096.0,-26262.0
Scramble,242589.0,-3755.0
Swap,245459.0,-6625.0
Scramble,270664.0,-31830.0
Scramble,271737.0,-32903.0
Scramble,242589.0,-3755.0
Swap,262499.0,-23665.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Scramble,306297.0,-67463.0
Scramble,247981.0,-9147.0
Swap,242589.0,-3755.0
Scramble,275179.0,-36345.0
Scramble,271108.0,-32274.0
Inversion,242589.0,-3755.0
Swap,254483.0,-15649.0
Scramble,263096.0,-24262.0
Scramble,268065.0,-29231.0
Scramble,298505.0,-59671.0
Scramble,263096.0,-24262.0
Scramble,265111.0,-26277.0
Swap,275741.0,-36907.0
Swap,245459.0,-6625.0
Inversion,245459.0,-6625.0
Inversion,242589.0,-3755.0
Swap,285092.0,-46258.0
Scramble,271586.0,-32752.0
Scramble,278690.0,-39856.0
Scramble,291751.0,-52917.0
Swap,279108.0,-40274.0
Inversion,278690.0,-39856.0
Inversion,242589.0,-3755.0
Swap,245459.0,-6625.0
Swap,285342.0,-46508.0
Swap,262499.0,-23665.0
Inversion,278690.0,-39856.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Scramble,286376.0,-47542.0
Inversion,286376.0,-47542.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Swap,242589.0,-3755.0
Scramble,283664.0,-44830.0
Inversion,242589.0,-3755.0
Scramble,280043.0,-41209.0
Inversion,242589.0,-3755.0
Swap,265111.0,-26277.0
Scramble,261988.0,-23154.0
Swap,242589.0,-3755.0
Swap,298737.0,-59903.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Swap,285342.0,-46508.0
Scramble,258598.0,-19764.0
Scramble,285121.0,-46287.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Swap,302233.0,-63399.0
Scramble,240067.0,-1233.0
Scramble,282176.0,-43342.0
Scramble,276768.0,-37934.0
Scramble,245552.0,-6718.0
Scramble,282459.0,-43625.0
Scramble,242589.0,-3755.0
Scramble,240067.0,-1233.0
Inversion,242589.0,-3755.0
Inversion,282459.0,-43625.0
Scramble,268179.0,-29345.0
Swap,268541.0,-29707.0
Swap,265674.0,-26840.0
Swap,257781.0,-18947.0
Swap,286513.0,-47679.0
Scramble,297283.0,-58449.0
Inversion,242589.0,-3755.0
Swap,257781.0,-18947.0
Inversion,297283.0,-58449.0
Inversion,242589.0,-3755.0
Swap,273468.0,-34634.0
Inversion,242589.0,-3755.0
Swap,300710.0,-61876.0
Scramble,277527.0,-38693.0
Swap,269407.0,-30573.0
Scramble,283627.0,-44793.0
Scramble,242589.0,-3755.0
Scramble,297110.0,-58276.0
Scramble,263971.0,-25137.0
Inversion,263971.0,-25137.0
Swap,254432.0,-15598.0
Inversion,240067.0,-1233.0
Scramble,265111.0,-26277.0
Scramble,253692.0,-14858.0
Scramble,276591.0,-37757.0
Inversion,240067.0,-1233.0
Inversion,254432.0,-15598.0
Inversion,242589.0,-3755.0
Swap,268541.0,-29707.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Scramble,284447.0,-45613.0
Swap,245500.0,-6666.0
Scramble,282176.0,-43342.0
Scramble,240067.0,-1233.0
Inversion,254432.0,-15598.0
Swap,269457.0,-30623.0
Scramble,254432.0,-15598.0
Inversion,282176.0,-43342.0
Inversion,240067.0,-1233.0
Inversion,269457.0,-30623.0
Swap,248094.0,-9260.0
Scramble,281718.0,-42884.0
Inversion,240067.0,-1233.0
Scramble,292273.0,-53439.0
Swap,274768.0,-35934.0
Swap,291751.0,-52917.0
Swap,249743.0,-10909.0
Scramble,242589.0,-3755.0
Swap,261988.0,-23154.0
Inversion,240067.0,-1233.0
Swap,242937.0,-4103.0
Inversion,274768.0,-35934.0
Scramble,284473.0,-45639.0
Scramble,280415.0,-41581.0
Inversion,284473.0,-45639.0
Swap,255604.0,-16770.0
Inversion,253406.0,-14572.0
Swap,270162.0,-31328.0
Swap,274613.0,-35779.0
Swap,249115.0,-10281.0
Scramble,286328.0,-47494.0
Swap,296652.0,-57818.0
Swap,258891.0,-20057.0
Inversion,242937.0,-4103.0
Inversion,240067.0,-1233.0
Inversion,249743.0,-10909.0
Scramble,286545.0,-47711.0
Inversion,240067.0,-1233.0
Scramble,240067.0,-1233.0
Swap,268012.0,-29178.0
Inversion,249743.0,-10909.0
Inversion,240067.0,-1233.0
Scramble,272536.0,-33702.0
Inversion,240067.0,-1233.0
Swap,253423.0,-14589.0
Inversion,253423.0,-14589.0
Scramble,244915.0,-6081.0
Inversion,240067.0,-1233.0
Inversion,246139.0,-7305.0
Scramble,244166.0,-5332.0
Scramble,259090.0,-20256.0
Inversion,242569.0,-3735.0
Inversion,240067.0,-1233.0
Scramble,272536.0,-33702.0
Inversion,240067.0,-1233.0
Scramble,242937.0,-4103.0
Swap,247468.0,-8634.0
Inversion,240067.0,-1233.0
Inversion,240067.0,-1233.0
Inversion,240067.0,-1233.0
Swap,244244.0,-5410.0
Inversion,240067.0,-1233.0
Inversion,244244.0,-5410.0
Swap,247468.0,-8634.0
Scramble,278537.0,-39703.0
Inversion,278537.0,-39703.0
Scramble,263550.0,-24716.0
Inversion,240067.0,-1233.0
Scramble,292867.0,-54033.0
Scramble,242589.0,-3755.0
Inversion,240067.0,-1233.0
Swap,265674.0,-26840.0
Scramble,240067.0,-1233.0
Inversion,240067.0,-1233.0
Scramble,267289.0,-28455.0
Swap,240067.0,-1233.0
Inversion,240067.0,-1233.0
Scramble,274613.0,-35779.0
Swap,240067.0,-1233.0
Swap,245459.0,-6625.0
Inversion,240067.0,-1233.0
Scramble,280852.0,-42018.0
Swap,247468.0,-8634.0
Inversion,247468.0,-8634.0
Swap,254469.0,-15635.0
Inversion,240067.0,-1233.0
Swap,281718.0,-42884.0
Scramble,272126.0,-33292.0
Swap,253423.0,-14589.0
Inversion,240067.0,-1233.0
Scramble,311409.0,-72575.0
Scramble,280166.0,-41332.0
Swap,242937.0,-4103.0
Scramble,245552.0,-6718.0
Inversion,280166.0,-41332.0
Inversion,245552.0,-6718.0
Inversion,280166.0,-41332.0
Swap,244880.0,-6046.0
Swap,246252.0,-7418.0
Swap,268627.0,-29793.0
Scramble,254469.0,-15635.0
Inversion,254469.0,-15635.0
Inversion,240067.0,-1233.0
Inversion,236432.0,2402.0
Scramble,294742.0,-55908.0
Inversion,294742.0,-55908.0
Inversion,240067.0,-1233.0
Swap,240105.0,-1271.0
Inversion,240067.0,-1233.0
Scramble,280228.0,-41394.0
Swap,284976.0,-46142.0
Inversion,240067.0,-3635.0
Swap,268627.0,-32195.0
Swap,300061.0,-63629.0
Inversion,300061.0,-63629.0
Scramble,279863.0,-43431.0
Swap,247468.0,-11036.0
Swap,246252.0,-9820.0
Scramble,263707.0,-27275.0
Swap,245375.0,-8943.0
Inversion,247468.0,-11036.0
Scramble,270286.0,-33854.0
Inversion,240067.0,-3635.0
Scramble,309354.0,-72922.0
Inversion,268627.0,-32195.0
Swap,265674.0,-29242.0
Inversion,265674.0,-29242.0
Scramble,245552.0,-9120.0
Inversion,240067.0,-3635.0
Inversion,236432.0,0.0
Inversion,245552.0,-9120.0
