Operand,Value,Delta
PMX,245500.0,-6666.0
CX,288196.0,-49362.0
CX,245500.0,-6666.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,275741.0,-36907.0
OX,279636.0,-40802.0
OX,245500.0,-6666.0
OX,288196.0,-49362.0
CX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,243527.0,-4693.0
PMX,242589.0,-3755.0
PMX,265111.0,-26277.0
PMX,256750.0,-17916.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,265111.0,-26277.0
OX,242589.0,-3755.0
CX,251713.0,-12879.0
PMX,251713.0,-12879.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,243741.0,-4907.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,243741.0,-4907.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,245500.0,-6666.0
CX,242589.0,-3755.0
CX,245500.0,-6666.0
OX,245500.0,-6666.0
OX,261988.0,-23154.0
CX,265111.0,-26277.0
OX,272126.0,-33292.0
CX,245500.0,-6666.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,242589.0,-3755.0
PMX,242589.0,-3755.0
PMX,269677.0,-30843.0
PMX,242589.0,-3755.0
PMX,242589.0,-3755.0
PMX,245500.0,-6666.0
OX,302233.0,-63399.0
OX,302233.0,-63399.0
OX,282835.0,-44001.0
PMX,245500.0,-6666.0
CX,242589.0,-3755.0
CX,285342.0,-46508.0
OX,302233.0,-63399.0
PMX,242589.0,-3755.0
OX,279636.0,-40802.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,254483.0,-15649.0
CX,242589.0,-3755.0
CX,242589.0,-3755.0
PMX,242589.0,-3755.0
CX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
CX,242589.0,-3755.0
CX,242589.0,-3755.0
CX,242589.0,-3755.0
PMX,248094.0,-9260.0
CX,284150.0,-45316.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
CX,242589.0,-3755.0
CX,243741.0,-4907.0
OX,242589.0,-3755.0
CX,243741.0,-4907.0
PMX,285121.0,-46287.0
OX,242589.0,-3755.0
PMX,254483.0,-15649.0
OX,242589.0,-3755.0
CX,250376.0,-11542.0
OX,251541.0,-12707.0
CX,290946.0,-52112.0
OX,282346.0,-43512.0
OX,242589.0,-3755.0
CX,302233.0,-63399.0
CX,282884.0,-44050.0
PMX,290946.0,-52112.0
PMX,302233.0,-63399.0
OX,269589.0,-30755.0
OX,294804.0,-55970.0
CX,242589.0,-3755.0
OX,306747.0,-67913.0
OX,245459.0,-6625.0
PMX,246724.0,-7890.0
CX,246724.0,-7890.0
CX,270974.0,-32140.0
PMX,242589.0,-3755.0
PMX,246724.0,-7890.0
PMX,245459.0,-6625.0
CX,300221.0,-61387.0
CX,245459.0,-6625.0
OX,267840.0,-29006.0
CX,251541.0,-12707.0
CX,243741.0,-4907.0
CX,251541.0,-12707.0
CX,246724.0,-7890.0
PMX,246724.0,-7890.0
PMX,250376.0,-11542.0
PMX,242589.0,-3755.0
CX,245459.0,-6625.0
PMX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,242589.0,-3755.0
OX,273051.0,-34217.0
PMX,245459.0,-6625.0
CX,286513.0,-47679.0
CX,251713.0,-12879.0
OX,242589.0,-3755.0
PMX,270664.0,-31830.0
PMX,242589.0,-3755.0
CX,291751.0,-52917.0
OX,242589.0,-3755.0
CX,291751.0,-52917.0
OX,242589.0,-3755.0
CX,271737.0,-32903.0
CX,291751.0,-52917.0
PMX,291751.0,-52917.0
OX,242589.0,-3755.0
OX,306297.0,-67463.0
CX,242589.0,-3755.0
CX,242589.0,-3755.0
PMX,247981.0,-9147.0
CX,306297.0,-67463.0
CX,242589.0,-3755.0
PMX,242589.0,-3755.0
PMX,306297.0,-67463.0
PMX,278543.0,-39709.0
OX,242589.0,-3755.0
CX,285092.0,-46258.0
OX,285342.0,-46508.0
PMX,265111.0,-26277.0
PMX,297425.0,-58591.0
CX,291751.0,-52917.0
CX,270664.0,-31830.0
CX,242589.0,-3755.0
PMX,245459.0,-6625.0
CX,278690.0,-39856.0
PMX,242589.0,-3755.0
CX,242589.0,-3755.0
CX,242589.0,-3755.0
CX,286376.0,-47542.0
PMX,242589.0,-3755.0
CX,242589.0,-3755.0
OX,251713.0,-12879.0
CX,242589.0,-3755.0
PMX,242589.0,-3755.0
CX,242589.0,-3755.0
CX,242589.0,-3755.0
PMX,242589.0,-3755.0
CX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,274034.0,-35200.0
PMX,242589.0,-3755.0
PMX,242589.0,-3755.0
PMX,242589.0,-3755.0
CX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,264145.0,-25311.0
OX,242589.0,-3755.0
